COMPANY NAME,Listing date,Lisiting Date,Lisiting Month,Lisiting Year,Issue Size,Issue Price,QIB,HNI,retail,total Subscription,Listing Open (Rs),Listing Close (Rs),Listing Gain %,LTP (Rs),Current Gain %,Status
Spectrum Talent Management Ltd.,22-Jun-23,22,6,2023,105.1,173,2.1,33.6,16,11.7,155,147.3,-15%,121.5,-30%,Loss
Srivasavi Adhesive Tapes Ltd.,9-Mar-23,9,3,2023,15.5,41,0,7.1,8.3,7.7,40,42,2%,99,142%,Profit
Sunita Tools Ltd.,11-Oct-23,11,10,2023,22,145,0,5.2,20,12.6,155,147.3,2%,649.3,348%,Profit
Sunrest Lifescience Ltd.,20-Nov-23,20,11,2023,10.8,84,0,27.8,62.4,45.1,84,79.8,-5%,59.7,-29%,Loss
Supreme Power Equipment Ltd.,29-Dec-23,29,12,2023,46.7,65,0,159.3,161.2,160.3,98,102.9,58%,230.5,255%,Profit
Suraj Estate Developers Ltd.,26-Dec-23,26,12,2023,400,360,24.3,18.9,9.3,15.7,340,334.5,-7%,797.3,122%,Loss
Swashthik Plascon Ltd.,5-Dec-23,5,12,2023,40.8,86,3.4,26.7,13.6,14.4,120.1,126.1,47%,78.9,-8%,Profit
Systango Technologies Ltd,15-Mar-23,15,3,2023,34.8,90,14.1,230.4,66.6,65,98,102.9,14%,250,178%,Profit
TVS Supply Chain Solutions Ltd.,23-Aug-23,23,8,2023,880,197,1.4,2.4,7.6,2.8,207.1,201,2%,202.9,3%,Profit
Tata Technologies Ltd.,30-Nov-23,30,11,2023,3042.5,500,203.4,62.1,16.5,69.4,1200,1313,163%,1114.7,123%,Profit
Techknowgreen Solutions Ltd.,27-Sep-23,27,9,2023,16.7,86,0,9.7,15,12.4,87,91.3,6%,274.3,219%,Profit
Transteel Seating Technologies Ltd.,6-Nov-23,6,11,2023,50,70,4.6,111.5,35.9,31.6,88.9,93.3,33%,68.2,-3%,Profit
Transvoy Logistics India Ltd.,2-Feb-23,2,2,2023,5.1,71,0,200,168.4,184.2,71,74.5,5%,249.8,252%,Profit
Tridhya Tech Ltd.,13-Jul-23,13,7,2023,26.4,42,10,224.3,83.2,67.8,42,44.1,5%,32.9,-22%,Profit
Udayshivakumar Infra Ltd.,3-Apr-23,3,4,2023,66,35,42.9,64.1,14.9,32.5,30,31.5,-10%,58.8,68%,Loss
Unihealth Consultancy Ltd.,21-Sep-23,21,9,2023,56.5,132,7.9,50.4,32.7,23,135,133,1%,151.7,15%,Profit
Updater Services Ltd.,4-Oct-23,4,10,2023,640,300,4.5,0.8,1.4,2.9,285,283.9,-5%,383.6,28%,Loss
Urban Enviro Waste Management Ltd.,22-Jun-23,22,6,2023,11.4,100,0,275.8,209.5,242.7,141,148.1,48%,431,331%,Profit
Utkarsh Small Finance Bank Ltd.,21-Jul-23,21,7,2023,500,25,124.8,81.6,72.1,101.9,40,48,92%,46.9,87%,Profit
Valiant Laboratories Ltd.,6-Oct-23,6,10,2023,152.5,140,20.8,73.6,16.1,29.8,162.2,170.3,22%,119.8,-14%,Profit
Vasa Denticity Ltd.,2-Jun-23,2,6,2023,54.1,128,19.8,207.6,77,68,211,221.6,73%,560.1,338%,Profit
Verteplus Technologies Ltd.,15-Mar-23,15,3,2023,14.2,96,0.6,35.1,15.5,11,101,106,11%,130,35%,Profit
Viaz Tyres Ltd.,1-Mar-23,1,3,2023,20,62,0,5.3,6.2,5.8,68,68,10%,51.5,-17%,Profit
Vinsys IT Services India Ltd.,11-Aug-23,11,8,2023,49.8,128,14,101,106,59.3,207.3,217.6,70%,348,172%,Profit
Vinyas Innovative Technologies Ltd.,6-Oct-23,6,10,2023,54.7,165,22.7,126.8,28.3,40.3,330,346.5,110%,789.1,378%,Profit
Vishnu Prakash R Punglia Ltd.,5-Sep-23,5,9,2023,308.9,99,171.7,111,32,87.8,165,145.7,47%,231,133%,Profit
Vivaa Tradecom Ltd.,12-Oct-23,12,10,2023,8,51,0,0.8,2.7,1.8,40.8,42.5,-17%,47,-8%,Loss
Womancart Ltd.,27-Oct-23,27,10,2023,9.6,86,0,53.6,68.3,60.9,117,122.8,43%,290,237%,Profit
Yatharth Hospital & Trauma Care Services Ltd.,7-Aug-23,7,8,2023,686.5,300,85.1,37.2,8.3,36.2,306.1,333.9,11%,560,87%,Profit
Yatra Online Ltd.,28-Sep-23,28,9,2023,775,142,2,0.4,2.1,1.6,127.5,135.9,-4%,135.1,-5%,Loss
Zaggle Prepaid Ocean Services Ltd.,22-Sep-23,22,9,2023,563.4,164,16.7,8.8,5.9,12.6,164,158.3,-4%,443.3,170%,Loss
Zeal Global Services Ltd.,9-Aug-23,9,8,2023,36.5,103,0,4.2,3.6,3.9,147,154.3,50%,187,82%,Profit
ideaForge Technology Ltd.,7-Jul-23,7,7,2023,567,672,125.8,80.6,85.2,106,1300,1295,93%,707.4,5%,Profit
Elin Electronics Ltd.,30-Dec-22,30,12,2022,475,247,4.5,3.3,2.2,3.1,244,227.7,-8%,246.5,0%,Loss
Mosh Overseas Educon Ltd.,30-Dec-22,30,12,2022,10.4,153,0,93.1,107.6,100.4,131,127.8,-16%,145.6,-5%,Loss
KFIN Technologies Ltd.,29-Dec-22,29,12,2022,1500,366,4.2,0.2,1.4,2.6,367,363.9,-1%,1054.5,188%,Loss
Uma Converter Ltd.,29-Dec-22,29,12,2022,18.4,33,0,15.5,17.7,16.6,34.3,33.1,1%,39.6,20%,Profit
Arihant Academy Ltd.,29-Dec-22,29,12,2022,14.7,90,0,242.9,228.6,235.7,120.1,126.1,40%,180.4,100%,Profit
Dolle Agrotech Ltd.,28-Dec-22,28,12,2022,24.4,35,0,1.5,2.3,1.9,30,31.5,-10%,41.5,19%,Loss
Landmark Cars Ltd.,23-Dec-22,23,12,2022,552,506,8.7,1.3,0.6,3.1,471,458.4,-9%,615.9,22%,Loss
Droneacharya Aerial Innovations Ltd.,23-Dec-22,23,12,2022,34,54,46.2,287.8,330.8,243.7,102,107.1,98%,141.7,162%,Profit
Abans Holdings Ltd.,23-Dec-22,23,12,2022,345.6,270,4.1,1.5,0.4,1.1,273,218.4,-19%,364.1,35%,Loss
Sula Vineyards Ltd.,22-Dec-22,22,12,2022,960.4,357,4.1,1.5,1.6,2.3,361,331.2,-7%,484.1,36%,Loss
All E Technologies Ltd.,21-Dec-22,21,12,2022,48.2,90,13.5,237.1,132.5,88.7,125,131.3,46%,442.8,392%,Profit
Arham Technologies Ltd.,15-Dec-22,15,12,2022,9.6,42,0,467.9,442.8,417.6,60,63,50%,139.9,233%,Profit
Uniparts India Ltd.,12-Dec-22,12,12,2022,835.6,577,67.1,17.9,4.6,25.3,575,539.6,-7%,485.9,-16%,Loss
Dharmajop Guard Ltd.,8-Dec-22,8,12,2022,251.2,237,48.2,52.3,21.5,35.5,266.1,266.3,12%,329.6,39%,Profit
AMBO Agritec Ltd.,2-Dec-22,2,12,2022,10.2,30,0,323.5,350,336.8,40.1,42.1,40%,102.6,242%,Profit
Keystone Realtors Ltd.,24-Nov-22,24,11,2022,635,541,3.8,3,0.5,2,555,556.9,3%,725.1,34%,Profit
Ino Green Energy Services Ltd.,23-Nov-22,23,11,2022,740,65,1.1,0.5,4.7,1.6,60,59.1,-9%,212.8,227%,Loss
Archean Chemical Industries Ltd.,21-Nov-22,21,11,2022,1462.3,407,48.9,14.9,9.9,32.2,450,458.1,13%,695.6,71%,Profit
Anuroop Packaging Ltd.,21-Nov-22,21,11,2022,2.6,13,0,3.8,7,5.4,13.3,13.9,7%,34.8,168%,Profit
Five Star Business Finance Ltd.,21-Nov-22,21,11,2022,1960,474,1.8,0.6,0.1,0.7,468.8,490,3%,806.4,70%,Profit
Bikaji Foods International Ltd.,16-Nov-22,16,11,2022,881.2,300,80.6,7.1,4.8,26.7,322.8,317.4,6%,953.3,218%,Profit
Technopack Polymers Ltd.,16-Nov-22,16,11,2022,7.9,55,0,19.8,19.8,19.8,74,77.7,41%,56.6,3%,Profit
Global Health Ltd.,16-Nov-22,16,11,2022,2205.6,336,28.6,4,0.9,9.6,401,415.3,24%,1112.2,231%,Profit
Amiable Logistics Ltd.,16-Nov-22,16,11,2022,4.4,81,0,186,281.7,233.8,129.9,136.4,68%,86.1,6%,Profit
Fusion Micro Finance Ltd.,15-Nov-22,15,11,2022,1104,368,8.6,1.4,0.5,3,359.5,324.8,-12%,306.6,-17%,Loss
Vital Chemtech Ltd.,14-Nov-22,14,11,2022,64.6,101,15.5,204.1,117,79.3,164,163.1,62%,75.7,-25%,Profit
DAPS Advertising Ltd.,14-Nov-22,14,11,2022,5.1,30,0,83.2,48.5,65.8,57,55.1,84%,30,0%,Profit
DC Systems Ltd.,11-Nov-22,11,11,2022,500,207,84.3,44,61.7,69.8,287,308.4,49%,345.9,67%,Profit
Integrated Personnel Services Ltd.,11-Nov-22,11,11,2022,12.7,59,0,14.7,24.5,19.6,66.5,69.8,18%,225.1,281%,Profit
Phantom Digital Effects Ltd.,21-Oct-22,21,10,2022,29.1,95,14.8,554.8,207,164.2,300,312.7,229%,365.1,284%,Profit
Tracn Technologies Ltd.,20-Oct-22,20,10,2022,309.4,80,1.7,0.8,4.9,2,84.5,93.3,17%,92.5,16%,Profit
Electronics Mart India Ltd.,17-Oct-22,17,10,2022,500,59,169.5,63.6,19.7,71.9,90,84.5,43%,209.5,255%,Profit
Frog Cellsat Ltd.,13-Oct-22,13,10,2022,41.6,102,5.4,70.9,22.1,21.1,177,185.8,82%,306.4,200%,Profit
Vedant Asset Ltd.,13-Oct-22,13,10,2022,3,40,0,43,55.2,48.6,71.7,64.8,62%,108.2,171%,Profit
QMS Medical Allied Services Ltd.,11-Oct-22,11,10,2022,56.9,121,0,1.3,0.5,0.9,128,134.4,11%,133.9,11%,Profit
Lloyds Luuries Ltd.,11-Oct-22,11,10,2022,24,40,0,11.6,1.8,6.7,45.1,42.9,7%,93.5,134%,Profit
Steelman Telecom Ltd.,10-Oct-22,10,10,2022,26,96,7.8,70.1,22.8,22.4,161,169.1,76%,158,65%,Profit
Trident Lifeline Ltd.,10-Oct-22,10,10,2022,35.3,101,0,1.7,1,1.3,105,108.2,7%,319.6,216%,Profit
Cargotrans Maritime Ltd.,10-Oct-22,10,10,2022,4.9,45,0,129.6,166.6,148.1,70,73.5,63%,75.9,69%,Profit
Silicon Rental Solutions Ltd.,10-Oct-22,10,10,2022,21.1,78,0,2.9,2.9,2.9,80,84,8%,208.8,168%,Profit
Cargosol Logistics Ltd.,10-Oct-22,10,10,2022,7.6,28,0,84.6,26,55.3,42.4,44.5,59%,33.3,19%,Profit
Mafia Trends Ltd.,6-Oct-22,6,10,2022,3.6,28,0,3.9,6,4.9,32.6,31.1,11%,22.3,-20%,Profit
Maks Energy Solutions India Ltd.,28-Sep-22,28,9,2022,4,20,0,36.2,16.4,26.3,20,21,5%,49,145%,Profit
Kandarp Digi Smart BPO Ltd.,28-Sep-22,28,9,2022,8.1,30,0,0.9,2.8,1.8,30,28.5,-5%,48.1,61%,Loss
Harsha Engineers International Ltd.,26-Sep-22,26,9,2022,755,330,178.3,71.3,17.6,74.7,450,486.5,47%,506.9,54%,Profit
Tapi Fruit Processing Ltd.,22-Sep-22,22,9,2022,5.2,48,0,1.9,3.3,2.6,52.1,54.7,14%,112.5,135%,Profit
Sabar Fle India Ltd.,21-Sep-22,21,9,2022,4.5,11,0,116.5,54.3,85.4,21,22.1,101%,20.3,84%,Profit
Mega Fle Plastics Ltd.,19-Sep-22,19,9,2022,11.4,40,0,52.8,39,45.9,54,56.7,42%,51.5,29%,Profit
Shantidoot Infra Services Ltd.,19-Sep-22,19,9,2022,4,81,0,2.4,3.3,2.9,105,110.3,36%,270.2,234%,Profit
Tamilnad Mercantile Bank Ltd.,15-Sep-22,15,9,2022,831.6,525,1.6,2.9,6.5,2.9,495,509.6,-3%,480.9,-8%,Loss
EP Biocomposites Ltd.,13-Sep-22,13,9,2022,6.3,126,0,21.6,15.4,18.5,160.3,168.3,34%,166,32%,Profit
JFL Life Sciences Ltd.,8-Sep-22,8,9,2022,18.2,61,0,6.2,11.7,8.9,70,66.5,9%,66,8%,Profit
Ameya Precision Engineers Ltd.,8-Sep-22,8,9,2022,7.1,34,0,259.2,243.5,251.3,68.4,65.4,92%,105.5,210%,Profit
Dreamfolks Services Ltd.,6-Sep-22,6,9,2022,562.1,326,70.5,37.7,43.6,56.7,508.7,462.4,42%,501.2,54%,Profit
Syrma SGS Technology Ltd.,26-Aug-22,26,8,2022,840,220,87.6,17.5,5.5,32.6,260,310.5,41%,443.1,101%,Profit
Upsurge Seeds of Agriculture Ltd.,11-Aug-22,11,8,2022,22.8,120,0,101.7,59.3,80.5,140,147,23%,260,117%,Profit
Agni Green Power Ltd,1-Aug-22,1,8,2022,5.3,10,0,107.4,39.9,73.7,25,26.3,163%,43,330%,Profit
SKP Bearing Industries Ltd.,13-Jul-22,13,7,2022,30.8,70,0,10.2,9.9,10.1,73,72.5,4%,218.3,212%,Profit
Jayant Infratech Ltd.,13-Jul-22,13,7,2022,6.2,67,0,4.2,3.8,4,76,79.8,19%,118.1,429%,Profit
B-Right Realestate Ltd.,13-Jul-22,13,7,2022,44.4,153,0,1.8,0.6,1.2,155,147.3,-4%,230,50%,Loss
Mangalam Worldwide Ltd.,12-Jul-22,12,7,2022,65.6,101,0,2.2,0.5,1.3,150,151.7,50%,129,28%,Profit
Sailani Tours N Travels Ltd.,8-Jul-22,8,7,2022,1.9,15,0,1.9,4.6,3.2,15.5,16.3,9%,25.5,70%,Profit
Pearl Green Clubs and Resorts Ltd.,7-Jul-22,7,7,2022,11.7,186,0,1.8,1.4,1.6,189.1,198.5,7%,180,-3%,Profit
Modi's Navnirman Ltd.,6-Jul-22,6,7,2022,22.7,180,0,2.8,1.2,2,189,188.9,5%,283,529%,Profit
Goel Food Products Ltd.,28-Jun-22,28,6,2022,7.2,72,0,1.2,2.1,1.6,75,78.8,9%,53.1,269%,Profit
Scarnose International Ltd.,27-Jun-22,27,6,2022,6.6,55,0,2.1,2.3,2.2,55.5,56,2%,77.9,42%,Profit
Fidel Softech Ltd.,10-Jun-22,10,6,2022,13.5,37,0,138.3,67.4,102.9,59.1,62,68%,132.9,259%,Profit
Aether Industries Ltd.,3-Jun-22,3,6,2022,808,642,17.6,2.5,1.1,6.3,704,774.4,21%,969.6,51%,Profit
Globesecure Technologies Ltd.,2-Jun-22,2,6,2022,10.1,29,0,23.7,4.6,14.2,36.5,37.1,28%,43.7,51%,Profit
eMudhra Ltd.,1-Jun-22,1,6,2022,412.8,256,4,1.3,2.6,2.7,270,257.9,1%,855.5,234%,Profit
Ethos Ltd.,30-May-22,30,5,2022,472.3,878,1.1,1.5,0.8,1,825,803.1,-9%,3289.7,275%,Loss
Paradeep Phosphates Ltd.,27-May-22,27,5,2022,1501.7,42,3,0.8,1.4,1.8,44,43.9,5%,82.5,97%,Profit
Delhivery Ltd.,24-May-22,24,5,2022,5235,487,2.7,0.3,0.6,1.6,495.2,536.4,10%,431.9,-11%,Profit
Prudent Corporate Advisory Services Ltd.,20-May-22,20,5,2022,538.6,630,1.3,1,1.3,1.2,650,561.8,-11%,2316.8,268%,Loss
Life Insurance Corporation,17-May-22,17,5,2022,21000,949,2.8,2.9,2,3,872,875.3,-8%,1010.4,7%,Loss
Sonu Infratech Ltd.,17-May-22,17,5,2022,8.6,36,0,13.4,19.6,16.5,36,37.6,4%,57.2,59%,Profit
Rainbow Childrens Medicare Pvt.Ltd.,10-May-22,10,5,2022,1580.8,542,38.9,3.7,1.4,12.4,510,450.1,-17%,1379.4,155%,Loss
Campus Activewear Ltd.,9-May-22,9,5,2022,1400.1,292,152,22.3,7.7,51.8,360,378.6,30%,357.4,22%,Profit
Le Merite Eports Ltd.,9-May-22,9,5,2022,48,74.99,0,2.9,9.9,6.4,75,78.8,5%,207.7,177%,Profit
Fone4 Communications (India) Ltd.,6-May-22,6,5,2022,6.8,10,0,7.4,22.1,14.8,10,9.5,-5%,7.6,-24%,Loss
Nanavati Ventures Ltd.,6-May-22,6,5,2022,2.2,50.02,0,13.9,51.2,32.5,50,50.3,1%,53.9,8%,Profit
Hariom Pipe Industries Ltd.,13-Apr-22,13,4,2022,130.1,153,1.9,8.9,12.2,7.9,214,224.7,47%,764.4,400%,Profit
Eighty Jewellers Ltd.,13-Apr-22,13,4,2022,11.1,41,0,2.9,2,2.5,42,44.1,8%,52.8,29%,Profit
Uma Eports Ltd.,7-Apr-22,7,4,2022,60,68,2.8,2.2,10.1,7.7,80,84,24%,133.2,96%,Profit
Veranda Learning Solutions Ltd.,7-Apr-22,7,4,2022,200,137,2,3.9,10.8,3.5,171,160.4,17%,325.8,138%,Profit
Shashwat Furnishing Solutions Ltd.,5-Apr-22,5,4,2022,2.5,44.99,0,2.4,6.8,4.6,45,45.3,1%,44,-2%,Profit
P E Analytics Ltd.,4-Apr-22,4,4,2022,31.6,114,13.2,126.4,59.2,46.3,170,168.5,48%,280,146%,Profit
Achyut Healthcare Ltd.,30-Mar-22,30,3,2022,3.6,20,0,1.9,6.8,4.3,20.1,21.1,6%,51,283%,Profit
KN Agri Resources Ltd.,28-Mar-22,28,3,2022,49.4,75,10.7,771.6,87.5,151.9,153.7,146,95%,271.3,262%,Profit
Bhatia Colour Chem Ltd.,24-Mar-22,24,3,2022,40,80,0,2.7,0.2,1.4,40,42,-48%,89,11%,Loss
SP Refractories Ltd.,22-Mar-22,22,3,2022,4.9,90,0,5.6,8.8,7.2,90.2,90.1,0%,193,114%,Profit
Shigan Quantum Technologies Ltd.,11-Mar-22,11,3,2022,22.7,50,0,27.7,8.2,17.9,61,64,28%,116,132%,Profit
Ekennis Software Service Ltd.,7-Mar-22,7,3,2022,2.9,72,0,37,19,28,80,84,17%,98.3,37%,Profit
Vaidya Sane Ayurved Laboratories Ltd.,23-Feb-22,23,2,2022,20.2,73,0,2.7,3,2.8,102,105.4,44%,149.8,105%,Profit
Vedant Fashions Ltd.,16-Feb-22,16,2,2022,3149.2,866,7.5,1.1,0.4,2.6,950,934.9,8%,1292.3,49%,Profit
Maruti Interior Products Ltd.,16-Feb-22,16,2,2022,11,55,0,107,39.8,73.4,68.5,71.9,31%,74.1,169%,Profit
Safa Systems & Technologies Ltd.,9-Feb-22,9,2,2022,4,10,0,64.6,40.8,52.7,16.6,15.7,57%,11.5,15%,Profit
Quality RO Industries Ltd.,9-Feb-22,9,2,2022,2.7,51,0,4.5,10.1,7.3,52.3,53.7,5%,227.4,346%,Profit
Adani Wilmar Ltd.,8-Feb-22,8,2,2022,3600,230,5.7,56.3,3.9,17.4,274,265.2,15%,346.2,51%,Profit
Alkosign Ltd.,1-Feb-22,1,2,2022,12.2,45,0,3.1,6.4,4.8,45.3,45.3,1%,123.8,175%,Profit
Precision Metaliks Ltd.,1-Feb-22,1,2,2022,21.9,51,0,2.8,11.9,7.4,75,71.3,40%,62.7,23%,Profit
Fabino Life Sciences Ltd.,13-Jan-22,13,1,2022,3.2,36,0,3.5,10.4,6.9,39.5,40.4,12%,28,-22%,Profit
Timescan Logistics (India) Ltd.,12-Jan-22,12,1,2022,4.8,51,0,141.4,90.3,115.9,82,86.1,69%,77.7,205%,Profit
Ascensive Educare Ltd.,12-Jan-22,12,1,2022,2.3,26,0,1.2,4.1,2.7,31.6,28.9,11%,98.4,279%,Profit
CMS Info Systems Ltd.,31-Dec-21,31,12,2021,1100,216,2,1.4,2.1,1.9,242.9,237.4,10%,577,167%,Profit
Vivo Collaboration Solutions Ltd.,31-Dec-21,31,12,2021,4.4,82,0,292.9,273.1,283,355.1,337.4,311%,72,-12%,Profit
Wherrelz IT Solutions Ltd.,29-Dec-21,29,12,2021,2,171,0,1.6,2.9,2.3,179.9,177.2,4%,200.1,17%,Profit
Clara Industries Ltd.,29-Dec-21,29,12,2021,3,43,0,1.5,1.6,1.5,45.7,44,2%,31,261%,Profit
Supriya Lifescience Ltd.,28-Dec-21,28,12,2021,700,274,31.8,161.2,56,71.5,425,390.4,43%,631,130%,Profit
Data Patterns (India) Ltd.,24-Dec-21,24,12,2021,588.2,585,190.9,254.2,23.1,119.6,864,754.9,29%,2530.3,333%,Profit
Euro Panel Products Ltd.,24-Dec-21,24,12,2021,45.5,70,0,1.7,1.9,1.8,70,71.4,2%,200,186%,Profit
Nupur Recyclers Ltd.,24-Dec-21,24,12,2021,34.2,60,0,53.1,34.2,43.7,74,77.7,30%,113.2,523%,Profit
Medplus Health Services Ltd.,23-Dec-21,23,12,2021,1398.3,796,111.9,85.3,5.2,52.6,1040,1121.2,41%,667.6,-16%,Profit
Metro Brands Ltd.,22-Dec-21,22,12,2021,1367.5,500,8.5,3,1.1,3.6,436,317.6,-37%,1246.5,149%,Loss
C.E. Info Systems Ltd.,21-Dec-21,21,12,2021,1039.6,1033,196.4,424.7,15.2,154.7,1581,1394.5,35%,2069.8,100%,Profit
Shriram Properties Ltd.,20-Dec-21,20,12,2021,600,118,1.9,4.8,12.7,4.6,94,99.4,-16%,132.4,12%,Loss
Rategain Travel Technologies Ltd.,17-Dec-21,17,12,2021,1335.7,425,8.4,42,8.1,17.4,364.8,340.5,-20%,755.1,78%,Loss
Tega Industries Ltd.,13-Dec-21,13,12,2021,619.2,453,215.4,666.2,29.4,219,753,725.5,60%,1860.5,311%,Profit
Go Fashion (India) Ltd.,30-Nov-21,30,11,2021,1013.6,690,100.7,262.1,49.7,135.5,1310,1253.7,82%,1297.5,88%,Profit
Tarsons Products Ltd.,26-Nov-21,26,11,2021,1023.5,662,115.8,184.6,10.6,77.5,700,840,27%,479.6,-28%,Profit
Latent View Analytics Ltd.,23-Nov-21,23,11,2021,600,197,145.5,850.7,119.4,326.5,530,488.6,148%,477.4,142%,Profit
Suyog Gurbaani Funicular Ropeways Ltd.,16-Nov-21,16,11,2021,29.5,45,0,2,0.6,1.3,45.1,45.1,0%,177.6,295%,Profit
SJS Enterprises Ltd.,15-Nov-21,15,11,2021,800,542,1.4,2.3,1.4,1.6,514,509.9,-6%,1004.5,85%,Loss
PB Fintech Ltd.,15-Nov-21,15,11,2021,5625,980,24.9,7.8,3.3,16.6,1444,1202.9,23%,1931.5,97%,Profit
FINO Payments Bank Ltd.,12-Nov-21,12,11,2021,1200.3,577,1.6,0.2,5.9,2,548,545.3,-6%,398.6,-31%,Loss
Destiny Logistics & Infra Ltd.,13-Oct-21,13,10,2021,5.4,20,0,2.1,7.4,4.8,20.7,19.7,-2%,98.2,391%,Loss
Samor Reality Ltd.,13-Oct-21,13,10,2021,8.1,62,0,2.5,0.9,1.7,62.6,62.5,1%,81.8,32%,Profit
Adishakti Loha and Ispat Ltd.,13-Oct-21,13,10,2021,2,11,0,2.9,1.8,0.8,6.4,11.4,4%,11.2,2%,Profit
Bombay Metrics Supply Chain Ltd.,12-Oct-21,12,10,2021,4.3,93,0,16.3,20.7,18.5,98.3,103.2,11%,143,54%,Profit
Aditya Birla Sun Life AMC Ltd.,11-Oct-21,11,10,2021,2768.3,712,10.4,4.4,3.2,5.3,697.5,699.6,-2%,761.2,7%,Loss
Shri Venkatesh Refineries Ltd.,11-Oct-21,11,10,2021,11.7,40,0,2.4,3.8,3.1,43.9,42.1,5%,137,585%,Profit
Jainam Ferro Alloys (I) Ltd.,8-Oct-21,8,10,2021,19.6,70,0,6.2,7.1,6.7,73,73.1,4%,148.2,112%,Profit
Markolines Traffic Controls Ltd.,27-Sep-21,27,9,2021,40,78,0,2.8,1.6,2.2,62.2,65.3,-16%,222.2,185%,Loss
Sansera Engineering Ltd.,24-Sep-21,24,9,2021,1283,744,26.5,11.4,3.1,11.5,845,818.7,10%,1666.8,124%,Profit
PlatinumOne Business Services Ltd.,16-Sep-21,16,9,2021,3.9,92,0,3.3,2.6,3,110,104.9,14%,221,140%,Profit
Naapbooks Ltd.,15-Sep-21,15,9,2021,4,74,4,0.6,2.5,1.6,73.9,74,0%,62.6,154%,Profit
Vijaya Diagnostic Centre Ltd.,14-Sep-21,14,9,2021,1895,531,13.1,1.3,1.1,4.5,542.3,619.3,17%,896.8,69%,Profit
Ami Organics Ltd.,14-Sep-21,14,9,2021,569.6,610,86.6,154.8,13.4,64.5,902,934.5,53%,1631.3,167%,Profit
Aptus Value Housing Finance India Ltd.,6-Sep-21,6,9,2021,2780.1,353,32.4,33.9,1.4,17.2,360,346.5,-2%,361.2,2%,Loss
Aashka Hospitals Ltd.,1-Sep-21,1,9,2021,101.6,121,0,2,0.8,1.3,76.5,115,-5%,105.8,-13%,Loss
Dudigital Global Ltd.,26-Aug-21,26,8,2021,4.5,65,0,6.7,39.3,23,60,63,-3%,67.6,1980%,Loss
Chemplast Sanmar Ltd.,24-Aug-21,24,8,2021,3850,541,2.7,1,2.3,2.2,570,534.9,-1%,516.8,-5%,Loss
Windlas Biotech Ltd.,17-Aug-21,17,8,2021,401.5,460,24.4,15.7,24.2,22.4,439,406.7,-12%,879.5,91%,Loss
Devyani International Ltd.,16-Aug-21,16,8,2021,1838,90,95.3,213.1,39.5,116.7,141,123.3,37%,209.9,133%,Profit
Krsnaa Diagnostics Ltd.,16-Aug-21,16,8,2021,1213.3,954,49.8,116.3,42,64.4,1025,990.8,4%,871,-9%,Profit
Re Pipes and Cables Industries Ltd.,10-Aug-21,10,8,2021,6.2,26,0,6.8,41.1,24,26.7,26.8,3%,87.5,237%,Profit
Role Rings Ltd.,9-Aug-21,9,8,2021,731,900,143.6,360.1,24.5,130.4,1249,1166.5,30%,2448.2,172%,Profit
Grete Corporate Services Ltd.,9-Aug-21,9,8,2021,5.1,170,0,2.4,12.2,7.3,177,180.6,6%,535,2732%,Profit
Glenmark Life Sciences Ltd.,6-Aug-21,6,8,2021,1513.6,720,37,122.5,14.6,44.2,752,748.2,4%,1151.8,60%,Profit
Tatva Chintan Pharma Chem Ltd.,29-Jul-21,29,7,2021,500,1083,185.2,512.2,35.4,180.4,2111.8,2310.3,113%,987.1,-9%,Profit
Zomato Ltd.,23-Jul-21,23,7,2021,9375,76,51.8,33,7.5,38.3,115,125.8,66%,290.5,282%,Profit
AA Plus Tradelink Ltd.,22-Jul-21,22,7,2021,6.5,18,0,0.3,2.6,1.5,16.6,17.5,-3%,21.7,21%,Loss
G R Infraprojects Ltd.,19-Jul-21,19,7,2021,963.3,837,168.6,238,12.6,102.6,1700,1746.8,109%,1669.4,100%,Profit
Clean Science and Technology Ltd.,19-Jul-21,19,7,2021,1546.6,900,156.4,206.4,9,93.4,1784.4,1585.2,76%,1548.1,72%,Profit
Focus Business Solution Ltd.,13-Jul-21,13,7,2021,1.2,19,0,3.2,10.1,6.7,29.4,27.9,47%,95,800%,Profit
Walpar Nutritions Ltd.,13-Jul-21,13,7,2021,6.6,55,0,1,17.9,9.5,60,57,4%,49.8,81%,Profit
India Pesticides Ltd.,5-Jul-21,5,7,2021,800,296,43,51.9,11.3,29,360,343.1,16%,210.8,-29%,Profit
Times Green Energy (India) Ltd.,30-Jun-21,30,6,2021,4,61,0,0.8,5,2.9,61.4,61.6,1%,85.8,41%,Profit
Dodla Dairy Ltd.,28-Jun-21,28,6,2021,520.2,428,84.9,73.3,11.3,45.6,550,609.1,42%,1207.5,182%,Profit
Adeshwar Medite Ltd.,28-Jun-21,28,6,2021,9.8,25,0,1.5,2.2,1.9,25.3,25.1,1%,26,4%,Profit
Sona BLW Precision Forgings Ltd.,24-Jun-21,24,6,2021,5550,291,3.5,0.4,1.6,2.3,302.4,362.9,25%,748.4,157%,Profit
Shyam Metalics and Energy Ltd.,24-Jun-21,24,6,2021,909,306,155.7,340,11.6,121.4,380,375.9,23%,920.1,201%,Profit
Abhishek Integrations Ltd.,21-Jun-21,21,6,2021,5,50,0,0.5,20.5,10.5,40,38,-24%,95,90%,Loss
